"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"FINOPB","Navi Mumbai","2260.21","19.46","349.39","35.22","474.61","543386"
"FINPIPE","Urse","11320.60","44.65","633.06","82.78","1293.66","500940"
"FIRSTCRY","Pune","17946.94","183.13","2277.90","177.80","2012.44","544226"
"FISCHER","Vijayawada","6264.66","57.35","700.98","23.54","545.71","524743"
"FIVECORE","New Delhi","40.01","","","","",""
"FIVESTAR","Chennai","18420.85","157.07","2120.19","64.26","1288.96","543663"
"FLAIR","Mumbai","3488.59","7.26","132.75","9.15","153.12","544030"
"FLATPROD","Navi Mumbai","2697.11","18.44","","8.44","","500147"
"FLEXITUFF","Indore","62.43","6.94","21.21","4.15","10.49","533638"
"FLFL","Mumbai","29.86","35.77","62.87","45.93","80.47","536507"
"FLOATGLASS","Raigad","","","","","","500149"
"FLUOROCHEM","Una Dist","40090.31","5.98","172.92","4.60","124.11","542812"
"FLYSBS","Chennai","911.82","","197.94","","197.94",""
"FMCGIETF","","","120.94","1118.95","104.00","1140.87","543326"
"FMGOETZE","New Delhi","2765.20","5.40","62.43","6.97","107.41","505744"
"FMNL","Mumbai","70.41","18.30","68.67","16.76","50.42","533296"
"FOCE","Mumbai","949.23","","2.84","","1.95",""
"FOCUS","Mumbai","552.42","","38.53","","146.92",""
"FONEBOX","Ahmedabad","114.66","","8.29","","11.10",""
"FOODSIN","Mumbai","594.36","6.33","69.39","23.59","208.86","507552"
"FORBESGOK","Mumbai","474.35","1.85","","6.68","","502865"
"FORCAS","24 Parganas (S)","216.23","","89.43","","52.81",""
"FORCEMOT","Pune","23583.60","8.66","103.77","8.54","99.56","500033"
"FORGEAUTO","Ludhiana","140.87","","12.79","","21.29",""
"FORTIS","Mohali","76280.97","61.27","2174.49","49.00","1902.46","532843"
"FORTISFIN","New Delhi","7.25","","","","","526927"
"FOSECOIND","Pune","3680.39","1.57","18.62","0.54","6.75","500150"
"FRESHARA","Chennai","387.74","","29.71","","107.62",""
"FRETAIL","Mumbai","130.69","","","","","540064"
"FROG","New Delhi","307.74","","23.07","","53.50",""
"FSC","Mumbai","12.90","58.72","46.60","44.83","59.87","540798"
"FSL","Mumbai","24816.44","61.76","1320.40","116.47","2541.29","532809"
"FUSION","New Delhi","2799.97","33.87","402.86","50.16","639.73","543652"
"GABRIEL","Pune","17550.42","33.19","454.10","36.09","506.46","505714"
"GAEL","Ahmedabad","4983.46","30.23","366.87","51.10","845.82","524226"
"GAIL","New Delhi","117694.28","584.83","8769.88","558.15","12093.73","532155"
"GAJANAND","Rajkot","22.13","","8.72","","16.78",""
"GALAPREC","Thane","946.77","1.51","16.55","7.88","68.12","544244"
"GALAXYSURF","Navi Mumbai","8032.98","0.62","14.03","3.24","21.15","540935"
"GALLANTT","Gorakhpur","12603.31","26.95","340.27","16.87","213.22","532726"
"GALLISPAT","New Delhi","1801.46","","","","","533265"
"GALPOWTEL","Hyderabad","2.51","","","","","504697"
"GAMMONIND","Mumbai","53.59","","","","","509550"
"GANDHAR","Mumbai","1301.80","11.61","125.86","25.17","235.55","544029"
"GANDHITUBE","Mumbai","1007.10","3.26","43.08","1.45","16.74","513108"
"GANECOS","Kanpur Dehat Dist","3142.90","3.35","44.87","6.52","76.87","514167"
"GANESHANHY","Mumbai","","","","","","500154"
"GANESHBE","Mumbai","607.73","21.71","148.06","22.71","181.83","500153"
"GANESHCP","Kolkata","1059.63","81.43","558.70","81.43","558.70","544528"
"GANESHHOU","Ahmedabad","6875.68","3.76","46.66","11.36","143.45","526367"
"GANESHIN","24 Parganas (North)","940.73","","182.41","","247.79",""
"GANGABATH","Rajkot","54.19","","23.25","","79.88",""
"GANGAFORGE","Rajkot Dist","46.51","","332.87","","589.02",""
"GANGESSECU","Sitapur Dist","155.96","1.32","8.61","1.41","9.91","540647"
"GANGOTRI","Coimbatore","2.02","41.03","32.72","12.45","32.97","521176"
"GARFIBRES","Pune","7356.10","11.51","59.63","6.58","70.62","509557"
"GARUDA","Mumbai","2193.92","195.48","2401.77","206.73","2262.62","544271"
"GATECH","Hyderabad","69.47","4577.55","14674.21","3002.14","9814.81","531723"
"GATECHDVR","Hyderabad","9.67","321.95","1150.20","394.39","1511.53","570005"
"GATEWAY","Navi Mumbai","3086.80","110.95","880.65","110.35","1373.89","543489"
"GAYAHWS","Hyderabad","98.26","169.40","524.43","91.51","252.61","541546"
"GAYAPROJ","Hyderabad","208.35","171.65","225.94","88.04","180.40","532767"
"GBGLOBAL","Mumbai","49.03","","","","","533204"
"GCHOTELS","Kanchipuram","483.44","","33.12","","73.80",""
"GCSL","Mumbai","568.25","22.75","127.93","13.03","127.93","543324"
"GDL","Navi Mumbai","3474.81","","","","","532622"
"GEECEE","Mumbai","729.30","0.68","8.32","1.17","11.87","532764"
"GEEKAYWIRE","Hyderabad","343.35","","91.49","","86.22",""
"GEMAROMA","Mumbai","1124.67","99.26","737.77","99.26","737.77","544491"
"GEMSPIN","Kanchipuram Dist","34.12","1.70","","1.22","","521133"
"GENCON","Mumbai","240.14","20.09","137.74","28.15","158.76","539407"
"GENESYS","Mumbai","2014.61","30.57","293.52","25.00","307.00","506109"
"GENSOL","Ahmedabad","114.15","65.64","251.71","72.64","332.87","542851"
"GENUSPAPER","Moradabad","411.66","13.29","108.78","29.17","267.81","538961"
"GENUSPOWER","Noida","10805.08","85.71","818.00","92.86","901.94","530343"
"GEOJITFSL","Kochi","2010.24","45.18","527.92","66.34","689.10","532285"
"GEOMETRIC","Mumbai","1759.40","","","","","532312"
"GEORGFISCH","Bengaluru","1967.12","0.11","","0.14","","500068"
"GEORGWILIM","Guwahati","","","","","","508238"
"GESHIP","Mumbai","14968.42","22.56","386.14","28.89","505.13","500620"
"GFL","Indore","6.25","","","","","519035"
"GFLLIMITED","Mumbai","672.83","12.27","154.23","13.07","120.73","500173"
"GFSTEELS","Mumbai","27.54","1.76","7.20","5.81","5.16","513343"
"GGBL","Ahmedabad","1008.66","","44.02","","60.72",""
"GHCL","Ahmedabad","5874.81","8.38","128.31","12.62","212.76","500171"
"GHCLTEXTIL","Ahmedabad","774.24","8.72","93.22","18.61","164.38","543918"
"GICHSGFIN","Mumbai","931.35","4.54","66.14","9.10","136.82","511676"
"GICL","Jaipur","462.93","","103.23","","85.68",""
"GICRE","Mumbai","65518.07","48.10","821.87","62.63","1308.92","540755"
"GILLANDERS","Kolkata","254.61","1.99","18.51","4.08","36.28","532716"
"GILLETTE","Mumbai","28379.77","1.62","24.95","2.12","46.56","507815"
"GILT5YBEES","","","","300.48","","318.91",""
"GINNIFILA","Noida","380.71","13.81","99.59","18.89","134.79","590025"
"GIPCL","Vadodara Dist","2731.80","34.40","340.64","34.48","517.18","517300"
"GIRIRAJ","Mumbai","406.65","","4.64","","4.75",""
"GIRRESORTS","Mumbai","202.29","","","","",""
"GITANJALI","Mumbai","12.57","","","","","532715"
"GKB","Mapusa","32.77","2.77","","4.02","","533212"
"GKENERGY","Pune","4125.30","468.33","4061.61","468.33","4061.61","544525"
"GKWLIMITED","Howrah","1013.77","","1.20","","1.86","504704"
"GLAND","Hyderabad","31279.01","7.33","180.81","10.35","254.02","543245"
"GLAXO","Mumbai","44091.31","3.05","89.81","6.74","188.95","500660"
"GLENMARK","Mumbai","51098.10","27.65","660.32","32.86","838.26","532296"
"GLFL","Ahmedabad","22.32","3.11","16.39","2.63","8.54","500174"
"GLOBABOARD","Ahmedabad","150.73","1.02","","2.02","","500159"
"GLOBAL","Mumbai","359.67","","63.74","","77.06",""
"GLOBALE","Ahmedabad","13.30","4.29","12.93","3.23","11.64","544234"
"GLOBALPET","Palghar","172.10","","7.85","","12.38",""
"GLOBALVECT","New Delhi","317.24","4.00","35.04","4.09","25.23","532773"
"GLOBE","Ahmedabad","117.56","","933.40","","1583.18",""
"GLOBECIVIL","New Delhi","430.87","27.62","293.83","84.77","680.76","544424"
"GLOBLTRUST","Secunderabad","14.20","","","","","500161"
"GLOBOFFS","Mumbai","217.36","25.04","","32.76","","501848"
"GLOBUSSPR","New Delhi","3341.64","6.96","99.92","9.96","134.96","533104"
"GLOSTERLTD","Kolkata","695.39","0.68","2.00","0.60","2.59","542351"
"GLOTTIS","Chennai","639.43","299.40","2658.55","299.40","2658.55","544557"
"GMBREW","Mumbai","2796.58","121.67","1153.09","34.84","344.35","507488"
"GMDCLTD","Ahmedabad","18009.93","512.31","7603.55","241.20","3589.75","532181"
"GML","Bhubaneswar","33.45","","92.76","","92.76",""
"GMMPFAUDLR","Karamsad","5759.02","9.40","130.67","7.23","101.11","505255"
"GMRAIRPORT","Gurugram","99687.29","548.98","11782.57","774.74","12979.76","532754"
"GMRP&UI","Gurugram","8520.85","204.04","1978.41","363.48","2138.20","543490"
"GNA","Jalandhar","1354.47","2.69","35.78","4.31","68.09","540124"
"GNFC","Bharuch","7205.24","24.29","295.93","34.01","544.30","500670"
"GOACARBON","Panaji","395.33","1.44","21.71","3.59","42.49","509567"
"GOCLCORP","Hyderabad","1680.51","35.41","110.37","15.76","109.90","506480"
"GOCOLORS","Chennai","3456.85","15.02","75.46","9.07","96.63","543401"
"GOCOLORS","Chennai","3456.85","15.02","75.46","9.07","96.63","543401"
"GODAVARIB","Mumbai","1328.27","10.32","104.40","22.98","163.53","544279"
"GODFRYPHLP","Mumbai","47203.98","57.76","708.63","24.09","341.26","500163"
"GODIGIT","Pune","32792.71","18.66","667.55","107.99","1480.75","544179"
"GODREJAGRO","Mumbai","11915.74","11.63","190.32","17.36","275.53","540743"
"GODREJCP","Mumbai","117329.41","50.54","1530.97","39.99","1441.58","532424"
"GODREJIND","Mumbai","36546.51","6.95","180.89","24.04","379.44","500164"
"GODREJPROP","Mumbai","66092.20","22.19","651.32","42.76","860.93","533150"
"GOENKA","Jaipur","44.70","86.12","153.80","80.37","148.72","533189"
"GOKEX","Bengaluru","6131.64","40.13","588.77","24.71","401.79","532630"
"GOKUL","Sidhpur","398.16","5.93","34.98","17.20","74.38","532980"
"GOKULAGRO","Ahmedabad","5141.89","35.60","511.49","37.51","341.68","539725"
"GOLD1","","","221.42","2637.40","101.86","1567.45","590097"
"GOLD360","","","8.76","118.34","4.22","49.29","544375"
"GOLDBEES","","","4308.00","33884.77","2277.61","19933.02","590095"
"GOLDCASE","","","1106.44","7060.54","671.64","3331.37","544132"
"GOLDENTOBC","Vadodara Dist","59.52","0.68","1.68","2.11","3.20","500151"
"GOLDETF","","","88.50","1541.30","53.90","688.82","543781"
"GOLDETFADD","","","5.65","608.55","4.68","463.45","543903"
"GOLDIAM","Mumbai","4017.05","91.98","733.64","98.85","1036.23","526729"
"GOLDIETF","","","555.81","7291.81","250.98","4001.37","533244"
"GOLDKART","Ahmedabad","428.03","","8.81","","6.41",""
"GOLDSHARE","","","73.49","924.31","43.94","609.03","590101"
"GOLDSTAR","Jamnagar","221.80","","99.17","","89.90",""
"GOLDTECH","Hyderabad","301.13","9.85","42.74","10.32","56.01","531439"
"GONTERPEIP","Kolkata","6.54","","","","","504701"
"GOODLUCK","New Delhi","3863.31","18.79","298.63","14.88","184.95","530655"
"GOODRICKE","Kolkata","405.76","5.05","","12.19","","500166"
"GOODVALUE","Mumbai","","","","","","500167"
"GOODYEAR","Faridabad Dist","2263.86","8.87","","8.46","","500168"
"GOPAL","Rajkot","4424.72","29.39","159.74","21.47","197.96","544140"
"GOVINRUBER","Thane","6.07","","","","","509148"
"GOYALALUM","Delhi","101.34","24.78","85.00","36.91","146.50","541152"
"GOYALSALT","Jaipur","341.00","","16.28","","14.96",""
"GPECO","Noida","586.87","","32.56","","52.46",""
"GPIL","Raipur","18056.22","258.09","4365.38","147.70","2443.67","532734"
"GPPL","Amreli Dist","8307.91","131.81","2002.90","105.70","1728.56","533248"
"GPTHEALTH","Kolkata","1191.85","18.57","206.33","18.90","223.86","544131"
"GPTINFRA","Kolkata","1343.26","22.14","273.47","36.80","268.43","533761"
"GRANULES","Hyderabad","13386.82","77.19","1587.65","63.18","1560.70","532482"
"GRAPHISAD","New Delhi","60.86","","8.40","","9.57",""
"GRAPHITE","Kolkata","11529.11","58.46","948.09","65.64","1220.87","509488"
"GRASIM","Nagda","183875.86","17.60","572.44","15.48","640.10","500300"
"GRAUWEIL","Mumbai","3751.98","147.08","","208.03","","505710"
"GRAVITA","Jaipur","12571.06","21.00","330.86","22.94","355.42","533282"
"GRCL","Faridabad","212.71","","1.13","","1.26",""
"GREAVESCOT","Chhatrapati Sambhajinagar - (Aurangabad)","4729.07","162.95","2435.83","281.42","5048.44","501455"
"GREENCHEF","Tumakuru","139.63","","13.43","","16.43",""
"GREENLAM","New Delhi","6799.69","330.66","169.06","84.37","85.02","538979"
"GREENLEAF","Surat","79.07","","102.22","","102.22",""
"GREENPANEL","Gurugram","3429.89","92.12","822.94","37.73","377.33","542857"
"GREENPLY","Kolkata","3656.71","6.57","103.31","8.17","137.92","526797"
"GREENPOWER","Chennai","1619.96","554.25","3427.16","905.50","4821.48","533263"
"GRETEX","Kolkata","294.62","","74.17","","25.73",""
"GRINDWELL","Mumbai","17611.12","2.28","60.57","3.71","59.12","506076"
"GRINFRA","Ahmedabad","10980.38","8.85","25.73","5.53","77.60","543317"
"GRMOVER","New Delhi","2719.43","50.85","798.88","35.49","546.89","531449"
"GROBTEA","Kolkata","126.52","","1.08","","0.81",""
"GROWWDEFNC","","","","303.68","","370.15",""
"GROWWEV","","","","283.54","","350.87",""
"GROWWGOLD","","","","533.26","","257.39",""
"GROWWLOVOL","","","","47.49","","67.41",""
"GROWWMOM50","","","","229.94","","525.87",""
"GROWWN200","","","","119.98","","397.14",""
"GROWWNET","","","","296.15","","451.88",""
"GROWWRAIL","","","","448.60","","488.46",""
"GROWWSLVR","","","","709.50","","442.21",""
"GRPLTD","Bharuch Dist","1080.00","0.94","5.15","0.63","3.60","509152"
"GRSE","Kolkata","29615.70","132.59","1282.63","190.20","1950.12","542011"
"GRUH","Ahmedabad","23291.87","","","","","511288"
"GRWRHITECH","Chhatrapati Sambhajinagar - (Aurangabad)","7788.54","6.98","80.94","7.26","93.34","500655"
"GSCLCEMENT","Sutrapada","295.82","","","","","518029"
"GSEC10ABSL","","","0.64","2.68","0.53","4.68","544228"
"GSEC10IETF","","","0.04","1.39","0.31","2.68","543700"
"GSEC10YEAR","","","3.83","28.25","6.28","29.73","543875"
"GSEC5IETF","","","3.07","14.90","1.43","18.10","543480"
"GSECBM NSE","","","","","","",""
"GSFC","Vadodara","7455.51","89.11","1321.48","90.68","1463.65","500690"
"GSKCONS","Nabha","45225.05","","","","","500676"
"GSLNOVA","Ahmedabad","1.43","","","","","530605"
"GSLSU","Jaipur","515.79","11.69","365.40","9.67","239.13","543829"
"GSMFOILS","Thane","312.93","","38.54","","28.96",""
"GSPL","Gandhinagar","17264.87","26.59","670.57","27.61","826.26","532702"
"GSS","Hyderabad","63.56","19.54","154.37","17.07","152.95","532951"
"GSTL","Mumbai","9.96","","33.53","","39.57",""
"GTECJAINX","Mumbai","24.71","","1.93","","5.32",""
"GTL","Navi Mumbai","142.20","166.79","724.48","189.21","881.16","500160"
"GTLINFRA","Navi Mumbai","1818.89","7536.16","40936.44","12436.54","68690.82","532775"
"GTNIND","Sangareddy","44.24","2.51","","3.66","","500170"
"GTNTEX","Cochin","12.64","9.80","","5.59","","532744"
"GTPL","Ahmedabad","1198.29","2.63","18.35","6.17","100.99","540602"
"GUFICBIO","Mumbai","3286.26","7.94","65.34","6.56","66.83","509079"
"GUJALKALI","Vadodara Dist","4101.82","3.18","41.16","4.52","69.79","530001"
"GUJAPOLLO","Mehsana Dist","583.65","8.59","67.03","4.50","35.56","522217"
"GUJBOROSIL","Mumbai","610.46","","","","","523768"
"GUJCOTEX","Silvassa","11.15","39.20","","63.14","","514386"
"GUJCYPROM","Sanand","","","","","","530467"
"GUJGASLTD","Gandhinagar","27631.98","13.98","299.41","22.29","547.28","539336"
"GUJRAFFIA","Gandhinagar Dist","34.04","6.94","20.09","3.43","10.03","523836"
"GUJRATGAS","Ahmedabad","9562.32","","","","","523477"
"GUJSTATFIN","Gandhinagar","113.80","22.29","","20.77","","532160"
"GUJTHEM","Valsad Dist","4897.44","15.59","214.06","49.35","216.54","506879"
"GULFOILLUB","Mumbai","6132.65","5.39","61.20","6.93","105.78","538567"
"GULFPETRO","Mumbai","203.27","5.74","43.20","36.43","158.93","532543"
"GULPOLY","Muzaffarnagar","945.85","7.86","113.04","14.41","173.17","532457"
"GURUNANAK","Durg","41.58","","48.40","","48.40",""
"GVKPIL","Secunderabad","519.56","217.28","651.02","283.08","824.14","532708"
"GVPIL","Mumbai","1963.71","32.25","432.92","31.79","386.32","532309"
"GVPTECH","New Delhi","170.60","","107.38","","133.06",""
"GVT&D","New Delhi","76821.64","23.11","474.98","19.59","481.37","522275"
"HAL","Bengaluru","307104.82","71.94","1133.31","95.55","1730.00","541154"
"HAPPSTMNDS","Bengaluru","7620.59","34.48","359.86","57.91","593.86","543227"
"HAPPYFORGE","Ludhiana","9317.73","2.04","38.12","18.27","36.45","544057"
"HARDWYN","New Delhi","722.39","88.50","906.79","100.15","762.00","541276"
"HARIAEXPO","Mumbai","9.09","10.99","","8.06","","512604"
"HARIGCRANK","Greater Noida","6.20","0.18","","0.54","","500178"
"HARIOMPIPE","Hyderabad","1319.05","35.65","367.92","29.37","283.92","543517"
"HARRMALAYA","Kochi","347.61","1.21","12.76","2.43","26.42","500467"
"HARSHA","Ahmedabad","3569.84","8.29","49.90","30.80","110.17","543600"
"HATHWAY","Mumbai","2363.09","214.62","1751.92","682.39","4218.86","533162"
"HATSUN","Chennai","22716.98","26.19","163.59","10.12","89.74","531531"
"HAVELLS","New Delhi","90472.39","31.32","840.51","39.60","959.78","517354"
"HAVISHA","Hyderabad","29.94","7.77","59.39","22.36","80.06","531322"
"HAWKINCOOK","Mumbai","4584.01","1.30","","1.18","","508486"
"HBLENGINE","Hyderabad","26754.86","215.07","3128.38","176.76","2567.07","517271"
"HBSL","Gurugram","59.47","8.69","48.70","7.40","38.83","532216"
"HCC","Mumbai","4885.29","805.40","6928.99","1754.43","18536.10","500185"
"HCG","Bengaluru","10640.57","45.88","346.53","23.67","302.20","539787"
"HCL-INSYS","New Delhi","520.15","41.92","216.61","109.25","363.57","500179"
"HCLTECH","New Delhi","414200.27","131.22","2712.92","106.43","2921.27","532281"
"HDBFS","Ahmedabad","59791.02","92.11","1136.74","298.51","2993.52","544429"
"HDFC","Mumbai","505430.17","","","","","500010"
"HDFCAMC","Mumbai","115345.85","9.98","440.28","11.55","462.73","541729"
"HDFCBANK","Mumbai","1513835.48","679.09","17375.75","473.30","13384.51","500180"
"HDFCBSE500","","","4.53","27.21","6.65","29.73","543774"
"HDFCGOLD","","","443.03","7019.21","208.40","3846.85","533230"
"HDFCGROWTH","","","3.80","22.40","2.99","19.22","543607"
"HDFCLIFE","Mumbai","158623.27","84.99","2768.73","73.62","3059.42","540777"
"HDFCLIQUID","","","1.66","16.12","2.39","17.36","543973"
"HDFCLOWVOL","","","12.85","92.88","5.42","44.44","543627"
"HDFCMID150","","","45.95","391.49","42.62","380.94","543776"
"HDFCMOMENT","","","28.11","210.60","29.75","301.09","543628"
"HDFCNEXT50","","","8.37","96.55","11.02","105.31","543570"
"HDFCNIF100","","","10.63","69.40","8.47","71.92","543569"
"HDFCNIFBAN ","","","4.31","134.45","5.45","263.94","543224"
"HDFCNIFIT","","","10.98","151.79","6.58","95.67","543665"
"HDFCNIFTY","","","5.15","100.89","6.28","117.53","539516"
"HDFCPSUBK","","","4.51","37.72","3.57","35.82","544110"
"HDFCPVTBAN","","","8.03","97.02","14.38","150.94","543666"
"HDFCQUAL","","","6.26","24.80","4.53","24.74","543605"
"HDFCSENSEX","","","5.47","37.03","6.66","36.98","539517"
"HDFCSILVER","","","357.35","5532.47","117.28","1959.98","543592"
"HDFCSML250","","","104.57","1084.38","103.12","972.67","543775"
"HDFCVALUE","","","1.17","7.03","0.99","10.19","543608"
"HDIL","Mumbai","127.98","56.94","123.15","109.01","190.16","532873"
"HEADSUP","Palghar","22.99","9.58","62.57","16.81","61.32","540210"
"HEALTHADD","","","0.20","2.31","0.20","3.26","544109"
"HEALTHIETF","","","4.57","70.97","4.92","103.27","543292"
"HEALTHY","","","13.95","153.69","24.17","209.88","543473"
"HECPROJECT","Ahmedabad","151.16","","11.45","","14.98",""
"HEG","Raisen Dist","10745.95","56.60","967.36","97.73","1900.67","509631"
"HEIDELBERG","Gurugram","4225.20","9.48","174.75","10.23","200.58","500292"
"HEMIPROP","New Delhi","3881.70","128.59","1638.36","68.69","838.33","543242"
"HERANBA","Valsad","1165.79","6.18","73.19","7.76","83.02","543266"
"HERCULES","Mumbai","563.04","6.39","52.57","9.25","66.40","505720"
"HERITGFOOD","Hyderabad","4470.45","40.36","489.38","39.57","424.70","519552"
"HEROMOTOCO","New Delhi","106519.13","30.38","933.47","22.48","716.72","500182"
"HESTERBIO","Mehsana","1354.38","0.48","6.43","1.10","15.12","524669"
"HEUBACHIND","Navi Mumbai","1137.12","1.22","24.66","1.52","32.71","506390"
"HEXATRADEX","Mathura Dist","967.06","0.63","5.80","1.33","10.64","534328"
"HEXT","Navi Mumbai","42551.95","43.03","846.70","46.84","1181.39","544362"
"HFCL","Solan","10772.44","1379.93","14053.20","1175.94","14078.35","500183"
"HGINFRA","Jodhpur","5855.30","10.75","86.52","10.97","105.74","541019"
"HGM","Pune","90.68","4.97","10.06","4.50","18.11","532761"
"HGS","Mumbai","2357.65","1.50","16.19","4.87","38.92","532859"
"HIGREEN","Rajkot","464.69","","17.97","","22.80",""
"HIKAL","Mumbai","2897.57","39.77","402.30","35.64","416.01","524735"
"HILINFRA","Indore","530.45","227.48","846.71","227.48","846.71","544477"
"HILTON","Mumbai","110.62","14.59","91.37","26.06","186.04","532847"
"HIMATSEIDE","Bengaluru","1497.59","46.40","556.80","79.21","1107.18","514043"
"HIMGRANITE","New Delhi","128.81","","","","","513723"
"HINDALCO","Mumbai","177092.69","202.62","5473.03","186.61","5487.79","500440"
"HINDCOMPOS","Mumbai","668.59","0.82","5.04","1.15","9.50","509635"
"HINDCON","Kolkata","162.48","","25.46","","56.26",""
"HINDCOPPER","Kolkata","31167.18","663.39","10276.36","487.08","6575.88","513599"
"HINDEVELOP","Gwalior","","","","","","500448"
"HINDLEVCHM","Rajpura","427.01","","","","","506737"
"HINDMOTORS","Kolkata","390.40","221.29","534.18","279.35","1634.11","500500"
"HINDOILEXP","Vadodara","1995.55","28.62","376.08","45.55","624.39","500186"
"HINDPETRO","Mumbai","100667.28","211.35","4478.93","225.89","5378.90","500104"
"HINDTINWRK","New Delhi","140.29","4.61","","9.63","","530315"
"HINDUJAFO","Chennai","769.21","","","","","505982"
"HINDUNILVR","Mumbai","572395.68","116.95","1535.52","98.62","1722.56","500696"
"HINDWAREAP","Kolkata","3068.98","20.11","253.75","15.03","206.84","542905"
"HINDZINC","Udaipur","197428.03","300.16","4699.25","247.64","3615.63","500188"
"HIRECT","Mumbai","3145.75","5.26","55.87","6.87","72.24","504036"
"HISARMETAL","Hisar","97.15","1.47","4.66","2.66","11.79","590018"
"HITECH","New Delhi","2130.60","218.19","2290.14","129.79","1633.53","543411"
"HITECHCORP","Mumbai","336.39","2.35","16.89","2.36","20.21","526217"
"HITECHGEAR","Gurugram","1482.78","0.45","3.25","0.45","4.02","522073"
"HITECHIJEW","Mumbai","","","","","","526486"
"HLEGLAS","Anand","4114.50","58.65","664.93","26.46","274.23","522215"
"HLVLTD","Mumbai","728.48","60.30","347.22","175.16","1035.59","500193"
"HMAAGRO","Agra","1545.88","22.76","269.77","32.51","432.34","543929"
"HMT","Bengaluru","6689.93","4.60","9.70","5.18","14.29","500191"
"HMVL","Patna","556.15","3.94","26.06","4.73","53.01","533217"
"HNDFDS","Mumbai","6371.36","7.86","46.92","7.81","83.78","519126"
"HNGSNGBEES","","","24.22","211.03","29.35","229.01","590113"
"HOACFOODS","New Delhi","119.43","","16.24","","11.91",""
"HOCL","Ernakulam","219.52","54.28","","65.29","","500449"
"HOLMARC","Ernakulam","105.12","","5.86","","8.31",""
"HOMEFIRST","Mumbai","11770.76","15.84","268.47","108.65","407.18","543259"
"HOMESFY","Thane","69.62","","3.19","","2.99",""
"HONASA","New Delhi","9002.98","46.48","728.35","60.01","1070.18","544014"
"HONAUT","Pune","31946.01","0.27","3.77","0.24","5.60","517174"
"HONDAPOWER","New Delhi","2551.54","1.32","9.85","1.30","12.20","522064"
"HPAL","Mumbai","450.09","12.16","110.99","17.53","148.18","543433"
"HPIL","Ahmedabad","162.22","1.39","13.10","2.58","24.18","543645"
"HPL","New Delhi","2737.59","23.41","179.21","31.36","292.41","540136"
"HPTL","Surat","375.91","","7.93","","17.90",""
"HRHNEXT","Hyderabad","41.92","","10.39","","10.43",""
"HSCL","Kolkata","22525.93","93.45","1571.22","113.41","1526.15","500184"
"HTMEDIA","New Delhi","630.82","19.03","117.82","33.73","227.49","532662"
"HUBTOWN","Mumbai","4471.91","46.20","813.13","42.49","689.71","532799"
"HUDCO","New Delhi","45503.19","356.79","3743.70","431.55","6628.50","540530"
"HUHTAMAKI","Mumbai","1804.22","40.87","564.36","19.12","254.67","509820"
"HUSYSLTD","Hyderabad","19.42","","","","",""
"HVAX","Mumbai","235.20","","2.53","","3.66",""
"HYBRIDFIN","Mumbai","63.14","20.94","111.49","8.22","42.33","500262"
"HYUNDAI","Kanchipuram Dist","191207.17","68.16","1040.77","51.01","1064.50","544274"
"IBLFL","Surat","168.29","","14.64","","14.81",""
"IBMFNIFTY","","0.00","","","","",""
"ICDSLTD","Manipal","63.83","4.25","5.44","2.96","5.05","511194"
"ICEMAKE","Ahmedabad","1114.21","","16.87","","45.81",""
"ICICI","Mumbai","","","","","","500015"
"ICICIB22","","","35.05","345.99","33.00","529.70","540787"
"ICICIBANK","Vadodara","944149.43","448.10","11123.21","381.95","10874.27","532174"
"ICICIGI","Mumbai","99587.47","26.23","643.12","15.66","685.49","540716"
"ICICIPRULI","Mumbai","87310.26","28.81","1268.77","28.37","1271.13","540133"
"ICIL","Kolhapur Dist","5398.96","31.42","468.69","31.19","513.46","521016"
"ICL","Noida","","","","","",""
"ICRA","New Delhi","6193.44","1.68","5.75","1.43","7.39","532835"
"ICSA","Hyderabad","0.96","","","","","531524"
"IDBI","Mumbai","104567.11","721.06","10953.53","589.82","9214.99","500116"
"IDEA","Gandhinagar","100433.99","85307.51","936511.02","68792.32","609743.47","532822"
"IDEAFORGE","Navi Mumbai","1968.29","48.41","463.01","53.97","575.33","543932"
"IDEALTECHO","Surat","105.00","","3.75","","8.28",""
"IDENTICAL","Mumbai","53.02","","8.21","","54.74",""
"IDFC","Chennai","17279.83","","","","","532659"
"IDFCFIRSTB","Chennai","68962.22","1961.69","23229.43","2201.59","29265.86","539437"
"IDFNIFTYET","","","","2.15","","1.94",""
"IEL","Gurugram","375.85","25.10","131.77","40.44","228.33","543715"
"IEML","Mumbai","175.72","","62.91","","29.99",""
"IEX","New Delhi","12314.28","396.52","6929.36","576.50","9119.72","540750"
"IFBAGRO","Kolkata","1239.22","2.32","51.18","1.38","20.74","507438"
"IFBIND","Kolkata","7262.99","5.92","97.81","5.46","74.65","505726"
"IFCI","New Delhi","14627.43","713.44","6772.96","1522.71","12533.47","500106"
"IFGLEXPOR","Sundergarh","1729.53","31.77","370.02","9.61","109.67","540774"
"IFGLREFRAC","Kolkata","969.44","","","","","532133"
"IGARASHI","Chennai","1573.44","5.44","75.24","5.63","72.70","517380"
"IGCL","New Delhi","637.30","36.55","464.07","66.10","633.60","544432"
