"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"SICAGEN","Chennai","249.34","21.93","","22.15","","533014"
"SICALLOG","Chennai","672.00","1.26","4.08","5.39","9.66","520086"
"SIDDHICOTS","Ahmedabad","79.93","","223.73","","223.73",""
"SIDDHIKA","Delhi","135.94","","3.08","","3.99",""
"SIEMENS","Mumbai","109843.51","15.10","343.94","24.27","509.52","500550"
"SIGACHI","Hyderabad","1368.74","2134.54","15075.32","766.67","6672.72","543389"
"SIGIND","Thane","167.29","1.61","15.53","4.06","35.40","512131"
"SIGMA","Ahmedabad","567.52","31.09","246.09","9.12","78.41","543917"
"SIGNATURE","New Delhi","15145.65","17.95","318.32","24.39","454.09","543990"
"SIGNORIA","Jaipur","35.99","","3.32","","5.69",""
"SIGNPOST","Mumbai","1218.93","10.17","126.62","11.32","160.13","544117"
"SIIL","Surat","12.71","","","","",""
"SIKKO","Ahmedabad","245.53","","269.71","","162.93",""
"SIL","Navi Mumbai","116.31","5.63","24.53","13.04","55.04","530017"
"SILGO","Jaipur","166.11","","39.04","","68.63",""
"SILINV","Bhawani Mandi","636.81","1.44","13.13","1.25","7.53","521194"
"SILKFLEX","Howrah","98.08","","6.92","","13.84",""
"SILKY","Gohana","87.05","","17.28","","37.89",""
"SILLYMONKS","Hyderabad","26.89","","59.28","","44.67",""
"SILVER","","","289.66","2279.55","102.58","859.08","543471"
"SILVER1","","","","1138.14","","454.65",""
"SILVER360","","","10.74","127.26","5.46","56.58","544389"
"SILVERADD","","","27.15","989.47","12.59","480.33","543572"
"SILVERAG","","","26.50","560.62","10.26","200.01","543922"
"SILVERBEES","","","5794.89","38371.81","5794.89","16055.98","590145"
"SILVERCASE","","","1176.10","8553.55","588.40","4033.78","544384"
"SILVERETF","","","196.04","1825.88","73.23","665.31","543900"
"SILVERIETF","","","687.53","8911.68","226.18","3554.51","543452"
"SILVERLINE","Mumbai","202.71","1167.42","","332.23","","500389"
"SILVERTUC","Ahmedabad","998.82","1.53","22.60","2.72","20.91","543525"
"SIMBHALS","Simbhaoli","44.99","4.64","22.74","5.24","25.88","539742"
"SIMBHSUGAR","Ghaziabad","80.45","","","","","507446"
"SIMPLEXCAS","Mumbai","384.76","13.34","","12.78","","513472"
"SIMPLEXINF","Kolkata","2392.24","13.79","106.34","8.64","94.24","523838"
"SINCLAIR","Kolkata","461.49","11.19","86.67","14.79","116.04","523023"
"SINDHUTRAD","New Delhi","3657.46","336.89","3041.72","272.55","2795.08","532029"
"SINGER","New Delhi","435.53","124.83","","92.62","","505729"
"SINTERCOM","Pune","320.84","","12.72","","21.83",""
"SIPAPER","Nanjangud","150.00","13.65","","13.79","","516108"
"SIRCA","New Delhi","2856.68","43.56","478.05","21.99","278.33","543686"
"SIS","Patna","4782.70","14.60","78.59","10.10","92.75","540673"
"SITINET","Mumbai","42.73","198.39","393.06","285.79","615.85","532795"
"SIYSIL","Palghar","3606.47","7.48","110.55","18.63","234.56","503811"
"SJLOGISTIC","Thane","527.00","","50.69","","40.80",""
"SJS","Bengaluru","5472.13","15.47","216.57","10.22","143.09","543387"
"SJVN","Shimla","33760.87","379.04","4301.62","588.25","6708.98","533206"
"SKFINDIA","Pune","10381.23","3.33","30.68","2.14","45.45","500472"
"SKIL","Mumbai","28.15","162.17","340.73","134.95","249.13","539861"
"SKIPPER","Kolkata","5845.63","30.43","443.53","48.90","655.24","538562"
"SKMEGGPROD","Erode","1068.73","11.29","66.66","10.27","80.30","532143"
"SKP","Surendranagar Dist","364.70","","6.73","","10.98",""
"SKSTEXTILE","Thane","4.25","","","","",""
"SKYGOLD","Thane","5411.72","105.50","1035.24","93.63","769.52","541967"
"SLONE","Mumbai","165.97","","5.43","","10.33",""
"SMALLCAP","","","284.42","1510.03","255.72","1614.35","544130"
"SMARTEN","Gurgaon","158.66","","95.88","","202.69",""
"SMARTLINK","Verna","147.13","0.85","12.95","1.50","10.94","532419"
"SMARTWORKS","Delhi","6842.70","18.44","246.73","56.74","637.68","544447"
"SMCGLOBAL","New Delhi","1367.38","4.24","85.29","9.98","164.68","543263"
"SMLISUZU","Nawanshahar","4534.18","11.37","88.30","8.57","93.36","505192"
"SMLT","Bhilai","144.56","3.31","42.58","4.11","34.68","540393"
"SMSLIFE","Hyderabad","350.70","0.12","1.14","0.30","2.18","540679"
"SMSPHARMA","Hyderabad","2659.72","58.43","596.93","23.43","249.28","532815"
"SMVD","Bidhannagar","6.17","","4.49","","15.59",""
"SNEHAA","Hyderabad","80.46","","75.81","","75.81",""
"SNOWMAN","Navi Mumbai","787.32","29.50","261.70","53.01","490.12","538635"
"SNXT30BEES","","","1.17","9.65","1.26","9.61","544415"
"SOBHA","Bengaluru","17682.14","11.71","190.34","12.60","289.39","532784"
"SOFTTECH","Pune","484.47","0.43","6.81","1.88","14.70","543470"
"SOLARA","Navi Mumbai","2720.40","29.83","137.83","18.86","156.09","541540"
"SOLARINDS","Nagpur","121023.66","3.99","106.62","4.98","124.85","532725"
"SOLARWORLD","New Delhi","2617.51","181.56","1373.57","181.56","1373.57","544532"
"SOLEX","Surat","1820.65","","29.47","","19.81",""
"SOMANICEM","Vadodara","","","","","","518071"
"SOMANYCERA","Kolkata","1841.27","1.87","30.41","3.75","41.80","531548"
"SOMATEX","Kolkata","514.98","17.36","34.16","23.16","89.43","521034"
"SOMDUTTFIN","Hyderabad","177.79","4.82","","8.10","","511571"
"SOMICONVEY","Jodhpur","183.11","3.47","18.11","4.09","24.62","533001"
"SONACOMS","Gurgaon","30022.91","167.09","3806.18","133.33","2751.61","543300"
"SONAMAC","Delhi","96.62","","8.79","","15.72",""
"SONAMLTD","Morbi","160.73","","72.55","","148.07",""
"SONATSOFTW","Mumbai","10274.77","173.50","2324.34","177.63","2347.34","532221"
"SONUINFRA","Jamnagar","88.85","","24.41","","23.53",""
"SORICH","Valsad Dist","","","","","",""
"SORILINFRA","Gurugram","205.69","","","","","532679"
"SOTAC","Ahmedabad","143.48","","4.57","","12.45",""
"SOTL","Mumbai","2688.94","2.65","32.83","3.54","45.33","524667"
"SOUISPAT","Palakkad","6.61","","","","","531645"
"SOUNDCRAFT","Mumbai","","","","","","523033"
"SOUTHBANK","Thrissur","9627.43","2364.02","21986.68","1790.48","16071.45","532218"
"SOUTHWEST","Gurugram","528.44","12.99","139.26","12.45","93.78","543986"
"SPAL","Tirupur","1747.45","2.62","36.66","2.77","43.54","540048"
"SPANDANA","Hyderabad","2117.60","16.59","178.13","48.30","540.96","542759"
"SPARC","Vadodara","4371.31","36.11","377.47","93.38","1200.64","532872"
"SPARTEK","Chittoor","10.11","","","","","515003"
"SPCENET","Hyderabad","538.36","","1476.09","","1589.94",""
"SPCL","Faridabad","235.61","","37.73","","45.65",""
"SPECIALITY","Kolkata","650.94","3.08","51.63","3.42","48.88","534425"
"SPECTRUM","Jalgaon","2276.62","0.22","3.96","0.36","6.32","544386"
"SPECTSTM","Delhi","210.72","","12.19","","17.84",""
"SPENCERS","Kolkata","438.04","15.54","117.27","16.19","207.07","542337"
"SPENTEX","New Delhi","2.71","","","","","521082"
"SPENTEX","Chhatrapati Sambhajinagar - (Aurangabad)","2.71","","","","","521082"
"SPIC","Chennai","1795.90","206.93","2303.67","102.15","1210.64","590030"
"SPICEJET","New Delhi","5036.38","10617.02","","8734.98","","500285"
"SPICELEC","Chennai","849.71","175.28","","87.61","","517166"
"SPICETELE","New Delhi","3915.32","","","","","532863"
"SPLIL","New Delhi","115.42","4.68","19.75","4.11","25.81","532651"
"SPLPETRO","Mumbai","12529.19","29.41","301.55","11.20","125.16","500405"
"SPMLINFRA","Kolkata","1586.65","30.97","397.19","40.22","434.72","500402"
"SPORTKING","Ludhiana","1250.77","16.11","149.16","35.11","322.30","539221"
"SPPPOLY","New Delhi","26.16","","8.64","","14.84",""
"SPRL","Nagpur","33.90","","1.60","","2.75",""
"SPUNWEB","Wankaner","359.26","","78.33","","166.70",""
"SRD","Bhilwara","441.18","16.10","151.23","20.38","152.77","542232"
"SREEL","Kolkata","514.27","0.89","10.85","2.08","12.16","535601"
"SREERAYALK","Kurnool","1243.85","287.28","","229.10","","507753"
"SREINFRA","Kolkata","104.14","","","","","523756"
"SRF","New Delhi","85983.95","11.84","371.24","16.33","584.31","503806"
"SRGHFL","Udaipur","460.64","0.65","3.66","0.62","6.94","534680"
"SRGINFOTEC","New Delhi","49.28","81.98","","149.66","","511525"
"SRHHLINDST","Kurnool","6.22","","","","","524410"
"SRHHYPOLTD","Hyderabad","919.26","1.23","11.89","3.51","34.54","532842"
"SRICHAMUND","Bengaluru","42.67","","","","",""
"SRIRAM","Ratlam","10.11","","","","",""
"SRIVASAVI","Bengaluru","83.84","","13.74","","14.25",""
"SRM","Jammu","1314.70","24.48","258.46","16.19","140.23","544158"
"SRPL","Rajkot","14.57","","466.81","","521.56",""
"SSDL","Kolhapur","334.86","5.06","36.69","9.81","73.99","544230"
"SSEGL","Kanchipuram","1264.11","","93.27","","74.99",""
"SSFL","Hyderabad","107.60","","8.32","","14.77",""
"SSLFINANCE","Chennai","7.59","6.53","","8.95","","530565"
"SSWL","Mohali Dist","3472.12","13.72","230.31","19.36","262.24","513262"
"STALLION","Mumbai","1866.52","403.30","3135.40","218.21","1621.65","544342"
"STANDRDBAT","Mumbai","28.44","2.83","","2.99","","504180"
"STANLEY","Bengaluru","1486.41","5.50","49.11","7.39","74.60","544202"
"STAR","Navi Mumbai","8845.82","32.28","504.95","38.75","582.60","532531"
"STARCEMENT","Jaintia Hills","9944.86","40.85","664.09","47.26","940.93","540575"
"STARHEALTH","Chennai","28631.72","63.02","994.25","64.96","1210.96","543412"
"STARPAPER","Kolkata","254.73","1.45","16.63","3.60","23.58","516022"
"STARTECK","Mumbai","296.76","4.05","13.03","4.00","12.05","512381"
"STCINDIA","New Delhi","780.60","9.98","118.51","12.49","159.64","512531"
"STEELCAS","Bhavnagar","2075.61","17.25","141.67","6.41","54.13","513517"
"STEELCITY","Vishakhapatnam","148.62","","8.92","","35.45",""
"STEELCOGUJ","Bharuch","12.71","0.06","","0.06","","500399"
"STEELXIND","Hyderabad","1152.43","450.31","2587.49","420.64","2547.40","534748"
"STEL","Cochin","756.58","2.07","12.80","1.05","7.22","533316"
"STER","Tuticorin","30318.09","","","","","500900"
"STERLINHOL","Chennai","2255.64","","","","","523363"
"STERTOOLS","New Delhi","1062.19","7.50","84.50","18.12","186.84","530759"
"STLNETWORK","Pune","1274.45","811.01","5085.80","811.01","5085.80","544395"
"STLTECH","Pune","5495.09","187.54","1881.84","554.71","3628.10","532374"
"STOVEKRAFT","Bengaluru","2218.79","11.99","186.77","7.56","130.19","543260"
"STUDDS","Faridabad","","","","","","544599"
"STUDIOLSD","Mumbai","87.70","","171.24","","171.24",""
"STYL","Mumbai","5884.07","91.25","911.37","91.25","911.37","544533"
"STYLAMIND","Chandigarh","3441.81","4.36","69.30","2.89","47.59","526951"
"STYLEBAAZA","24 Parganas (North)","2412.01","24.97","423.39","32.77","441.44","544243"
"STYRENIX","Vadodara","4104.22","2.80","33.65","2.52","36.59","506222"
"SUBAHOTELS","Ahmedabad","407.03","","457.43","","457.43",""
"SUBCAPCITY","Bengaluru","32.36","","","","",""
"SUBEXLTD","Bengaluru","703.07","235.30","1146.74","421.84","3025.90","532348"
"SUBROS","New Delhi","6614.58","24.30","289.43","14.78","199.12","517168"
"SUDARSCHEM","Pune","8581.86","6.06","116.57","20.78","198.60","506655"
"SUDITIND","Navi Mumbai","228.78","24.12","","28.52","","521113"
"SUKHJITS","Phagwara","506.15","1.45","8.49","2.22","16.22","524542"
"SULA","Mumbai","2104.00","97.98","957.59","56.74","543.99","543711"
"SUMANMOTEL","Mumbai","","","","","","523295"
"SUMEETINDS","Surat","1818.46","39.90","195.83","28.86","137.46","514211"
"SUMICHEM","Mumbai","23971.47","13.86","321.64","20.47","437.40","542920"
"SUMIT","Mumbai","380.39","","59.20","","43.15",""
"SUMMIT","Mumbai","18.10","","","","","504807"
"SUMMITSEC","Mumbai","2363.72","2.07","24.90","1.74","17.47","533306"
"SUNCLAY","Chennai","3351.02","2.76","22.52","1.35","20.45","544066"
"SUNDARAM","Mumbai","89.56","140.30","611.38","162.27","623.62","533166"
"SUNDARMFIN","Chennai","53973.14","2.68","80.94","3.94","112.09","590071"
"SUNDRMBRAK","Chennai","310.99","0.26","1.96","0.69","4.78","590072"
"SUNDRMFAST","Chennai","19702.69","23.42","108.49","26.82","141.44","500403"
"SUNDROP","Secunderabad","2929.42","1.57","18.51","2.29","29.76","500215"
"SUNFLAG","Nagpur","4655.07","13.45","228.28","27.52","385.33","500404"
"SUNLITE","Kheda","261.39","","25.57","","19.27",""
"SUNPHARMA","Vadodara","404467.89","95.12","2355.35","76.54","2328.11","524715"
"SUNREST","Ahmedabad","19.95","","12.72","","12.03",""
"SUNTECH","Delhi","104.65","","30.13","","103.52",""
"SUNTECK","Mumbai","6555.39","33.71","429.23","24.68","349.00","512179"
"SUNTV","Chennai","21651.01","23.94","515.90","15.20","360.68","532733"
"SUPER","Coimbatore","246.95","0.59","","1.08","","512527"
"SUPERHOUSE","Kanpur","171.99","2.39","20.37","1.22","11.67","523283"
"SUPERSPIN","Coimbatore","52.20","9.82","43.99","25.25","93.69","521180"
"SUPRAJIT","Bengaluru","5982.03","7.14","124.23","7.14","119.37","532509"
"SUPREME","Pune","333.83","15.60","185.07","22.06","147.15","530677"
"SUPREMEENG","Navi Mumbai","18.00","","195.77","","265.82",""
"SUPREMEIND","Mumbai","48849.45","16.36","205.69","10.59","246.10","509930"
"SUPREMEINF","Mumbai","880.30","4.15","14.56","5.77","17.88","532904"
"SUPREMEPWR","Poonamallee","502.95","","62.30","","66.66",""
"SUPRIYA","Mumbai","6268.81","16.08","253.95","25.95","330.67","543434"
"SURAJEST","Mumbai","1368.71","29.27","377.43","16.55","203.28","544054"
"SURAJEST","Mumbai","1368.71","29.27","377.43","16.55","203.28","544054"
"SURAJLTD","Ahmedabad","521.91","1.23","27.15","1.98","21.64","531638"
"SURAKSHA","Kolkata","1686.37","3.51","45.60","17.83","158.46","544293"
"SURANASOL","Hyderabad","152.84","25.52","141.73","29.44","146.31","533298"
"SURANAT&P","Hyderabad","283.74","59.49","341.50","37.66","201.41","517530"
"SURANI","Gandhinagar Dist","127.57","","3.40","","7.08",""
"SURYAJYOTI","Bargul","8.45","","","","","521022"
"SURYALAXMI","Secunderabad","113.08","1.92","8.38","3.23","26.82","521200"
"SURYAROSNI","Bahadurgarh","6419.17","26.04","419.65","30.11","473.59","500336"
"SURYODAY","Navi Mumbai","1586.91","50.13","565.88","38.18","386.12","543279"
"SURYVANSPG","Secunderabad","11.49","0.45","","2.12","","514140"
"SUTLEJTEX","Bhawani Mandi","551.77","5.12","45.56","10.65","96.97","532782"
"SUULD","Mumbai","11.79","","101.08","","66.95",""
"SUVEN","Hyderabad","4373.19","19.57","154.94","44.05","508.86","530239"
"SUVIDHAA","Gandhinagar","81.61","23.57","95.97","76.01","455.93","543281"
"SUYOG","Mumbai","859.39","2.01","27.55","4.17","34.28","537259"
"SUZLON","Ahmedabad","81751.63","7550.40","69856.38","8757.74","70197.18","532667"
"SUZLONFIBR","Ankleshwar","12.25","6.42","","15.51","","514240"
"SVLL","Raipur","863.18","","1.49","","5.51",""
"SVPGLOB","Mumbai","45.41","16.54","85.82","30.62","106.74","505590"
"SWANCORP","Mumbai","13633.81","86.53","1364.65","199.78","3364.03","503310"
"SWANDEF","Amreli Dist","4716.90","1.43","1.94","0.78","1.04","533107"
"SWARAJ","Bhilwara","442.02","","18.88","","26.98",""
"SWARAJENG","Mohali","4722.81","1.81","20.68","2.10","25.39","500407"
"SWASTIK","Delhi","72.37","","10.07","","18.09",""
"SWELECTES","Chennai","1162.15","9.95","114.71","4.73","46.49","532051"
"SWIGGY","Bengaluru","100743.33","589.43","13809.70","1032.87","15357.33","544285"
"SWSOLAR","Mumbai","5417.94","255.13","2188.56","278.77","2732.20","542760"
"SYLVANPLY","Hooghly","127.87","","6.55","","12.11",""
"SYMPHONY","Ahmedabad","6461.64","4.29","52.33","6.61","110.89","517385"
"SYNCOMF","Mumbai","1513.40","210.50","932.91","446.49","2261.65","524470"
"SYNDIBANK","Manipal","4065.84","","","","","532276"
"SYNGENE","Bengaluru","25018.51","47.07","617.48","72.25","929.55","539268"
"SYNOPTICS","Mumbai","70.55","","5.68","","7.76",""
"SYNTHCHEM","Mumbai","","","","","","506660"
"SYRMA","Mumbai","15171.95","86.49","1432.99","83.97","1442.88","543573"
"SYSTANGO","Indore","376.18","","14.85","","32.28",""
"SYSTMTXC","Indore","2222.16","44.24","197.19","166.81","197.19","526506"
"TAC","Mohali","1732.07","","36.57","","29.10",""
"TAINWALCHM","Mumbai","187.28","1.41","6.93","2.32","24.20","507785"
"TAJGVK","Hyderabad","2565.75","42.61","420.36","43.19","480.92","532390"
"TAKE","Chennai","346.31","80.27","431.32","39.59","176.62","532890"
"TALBROAUTO","Faridabad","1774.99","16.85","199.40","14.01","162.65","505160"
"TALWALKARS","Mumbai","4.50","","","","","533200"
"TALWGYM","Mumbai","2.95","","","","","541545"
"TANEJAERO","Krishnagiri Dist","906.80","17.41","","20.01","","522229"
"TANFACIND","Cuddalore Dist","4046.66","9.22","","13.91","","506854"
"TANKUP","Lucknow","297.84","","4.82","","21.48",""
"TANLA","Hyderabad","8041.25","58.87","721.98","100.57","1391.15","532790"
"TAPIFRUIT","Surat","42.08","","3.18","","3.24",""
